character_id_mal,character_id_anilist,name,alt_names,gender,species_tags,role,age,height_cm,popularity_mal_favorites,popularity_anilist_favorites,anime_id_mal,anime_id_anilist,anime_title,anime_year_start,universe,image_url,validated,sources
118763,88575,Rem,Rem-rin; レム,Female,Elf,Supporting,17-,154,46335,14392,31240,21355,Re:Zero kara Hajimeru Isekai Seikatsu,2016,Re:Zero kara Hajimeru Isekai Seikatsu,https://cdn.myanimelist.net/images/characters/9/311327.jpg,false,jikan; anilist
6356,6356,Joseph Joestar,JoJo; Josef Joestar; Mr. Joestar; Old Man; Geezer; ジョセフ・ジョースター,Male,Dämon; Yokai/Geist; Vampir; Elf,Main,18-78,195,42668,15055,665,665,JoJo no Kimyou na Bouken: Adventure,2000,JoJo no Kimyou na Bouken: Adventure,https://cdn.myanimelist.net/images/characters/7/316615.jpg,false,jikan; anilist
117225,89361,Megumin,Crazy Explosion Girl; Psycho Girl; めぐみん,Female,Dämon; Magier,Main,13-17,,41838,15311,30831,21202,Kono Subarashii Sekai ni Shukufuku wo!,2016,Kono Subarashii Sekai ni Shukufuku wo!,https://cdn.myanimelist.net/images/characters/14/349249.jpg,false,jikan; anilist
22037,22037,Hitagi Senjougahara,Tsundere-chan; Gahara-san; 戦場ヶ原ひたぎ,Female,Elf,Main,17-18,165,40885,13671,5081,5081,Bakemonogatari,2009,Bakemonogatari,https://cdn.myanimelist.net/images/characters/11/287902.jpg,false,jikan; anilist
36765,36765,Kazuto Kirigaya,Kirito (キリト); The Black Swordsman; Papa (パパ); Daddy; 桐ヶ谷和人,Male,Dämon; Fee; Ritter,Main,14-18,172,40443,7763,11757,11757,Sword Art Online,2012,Sword Art Online,https://cdn.myanimelist.net/images/characters/7/204821.jpg,false,jikan; anilist
109931,89334,Arataka Reigen,The Century's Greatest Psychic; Master; 霊幻新隆,Male,Yokai/Geist; Elf; Ork,Main,28-,179,40219,21112,32182,21507,Mob Psycho 100,2016,Mob Psycho 100,https://cdn.myanimelist.net/images/characters/16/308364.jpg,false,jikan; anilist
118739,127222,Mai Sakurajima,桜島麻衣,Female,Ork,Main,17-18,163,39544,18901,37450,101291,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,2018,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://cdn.myanimelist.net/images/characters/2/366639.jpg,false,jikan; anilist
84677,84677,Yato,Yatty; Amagiri no Mikoto; Jersey; Drippy; 夜ト,Male,Gott; Elf,Main,1000+,,39410,11827,20507,20447,Noragami,2014,Noragami,https://cdn.myanimelist.net/images/characters/3/328158.jpg,false,jikan; anilist
68,68,Roy Mustang,Flame Alchemist; Hero of Ishval; Roy-Boy; ロイ・マスタング,Male,Alchemist,Supporting,29-32,173,38338,12444,121,121,Fullmetal Alchemist,2003,Fullmetal Alchemist,https://cdn.myanimelist.net/images/characters/11/510227.jpg,false,jikan; anilist
141354,90169,Violet Evergarden,Auto Memories Doll; Leidenschaftlich's Soldier Maiden; Vi; ヴァイオレット・エヴァーガーデン,Female,,Main,14-18,165,37911,17944,33352,21827,Violet Evergarden,2018,Violet Evergarden,https://cdn.myanimelist.net/images/characters/9/345616.jpg,false,jikan; anilist
155679,124381,Zero Two,Code:002; Partner Killer (パートナー殺し); 9' Iota; Nine Iota (ナインイオタ); 9'ι; ゼロツー,Female,Mensch; Dämon; Elf; Ork,Main,,170,37387,12996,35849,99423,Darling in the FranXX,2018,Darling in the FranXX,https://cdn.myanimelist.net/images/characters/14/559013.jpg,false,jikan; anilist
128909,123212,Kiyotaka Ayanokouji,Argos-4; Ayanokoji; Aya-non; Kiyo-pon; X; The False Genius; Elevator Boy; 綾小路清隆,Male,Elf,Main,16-17,176,36376,14706,30813,,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV,,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e PV,https://cdn.myanimelist.net/images/characters/4/539058.jpg,false,jikan; anilist
125056,89198,Osamu Dazai,Mackerel; Bandage Wasting Device; 太宰治,Male,Mensch; Dämon,Main,22,181,36094,14817,31478,21311,Bungou Stray Dogs,2016,Bungou Stray Dogs,https://cdn.myanimelist.net/images/characters/5/307236.jpg,false,jikan; anilist
5,5,Ichigo Kurosaki,Ichi-nii; Substitute Soul Reaper; Itsygo; Ryoka Boy; 黒崎一護,Male,Mensch; Yokai/Geist; Elf; Ork; Magier,Main,15-29,181,35698,12107,269,269,Bleach,2004,Bleach,https://cdn.myanimelist.net/images/characters/3/512788.jpg,false,jikan; anilist
31,31,Hisoka Morow,Hisoka Morou; The Magician; Grim Reaper; ヒソカ・モロウ,Male,Jäger,Supporting,28,187,35405,12375,136,136,Hunter x Hunter,1999,Hunter x Hunter,https://cdn.myanimelist.net/images/characters/3/174561.jpg,false,jikan; anilist
2075,2075,Kamina,Fearless Demon Leader; Aniki (Bro); カミナ,Male,Mensch; Ork,Main,18,184,34026,8019,2001,2001,Tengen Toppa Gurren Lagann,2007,Tengen Toppa Gurren Lagann,https://cdn.myanimelist.net/images/characters/7/83946.jpg,false,jikan; anilist
434,434,Eikichi Onizuka,鬼塚英吉,Male,Dämon; Elf; Ork; Magier,Main,22,,33034,6691,245,245,Great Teacher Onizuka,1999,Great Teacher Onizuka,https://cdn.myanimelist.net/images/characters/8/241475.jpg,false,jikan; anilist
23602,23602,Shinobu Oshino,Kiss-Shot Acerola-Orion Heart-Under-Blade (キスショット・アセロラオリオン・ハートアンダーブレード); Tekketsu ni shite Nekketsu ni shite Reiketsu no Kyuuketsuki (鉄血にして熱血にして冷血の吸血鬼); The Iron-blooded‚ Hot-blooded‚ Cold-blooded Vampire; Beautiful Princess; Acerola; Laura; 忍野忍,Female,,Supporting,598-599,,33014,12909,5081,5081,Bakemonogatari,2009,Bakemonogatari,https://cdn.myanimelist.net/images/characters/16/234167.jpg,false,jikan; anilist
497,497,Saber,Saber (セイバー); Altria Pendragon; King Arthur; King of Knights; Blue Saber; Arturia Pendragon; Goddess Rhongomyniad; Lion King; Elise Watoson; Once and Future King; Proud Knight-King; Arthur Pendragon; アルトリア・ペンドラゴン,Female,,Main,"35 (chronologically), 15 (physically)",154,32825,10791,356,356,Fate/stay night,2006,Fate/stay night,https://cdn.myanimelist.net/images/characters/6/275276.jpg,false,jikan; anilist
10138,10138,Thorfinn,ثورفين; Thorsson; トルフィン・カルルセヴニ,Male,Krieger,Main,6-25,,32742,19414,37521,101348,Vinland Saga,2019,Vinland Saga,https://cdn.myanimelist.net/images/characters/9/309871.jpg,false,jikan; anilist
305,305,Sanji,Black Leg; Mr. Prince; Love Cook; Ero Cook; Curly Eyebrows; O-Soba Mask; Sangoro; Mr. Nosebleed; San-gorou; サンジ,Male,Magier; Pirat,Main,19-,177,32463,13778,21,21,One Piece,1999,One Piece,https://cdn.myanimelist.net/images/characters/5/136769.jpg,false,jikan; anilist
12064,12064,Taiga Aisaka,Palmtop Tiger; 逢坂大河,Female,Elf; Ork,Main,17-18,145,31777,7521,4224,4224,Toradora!,2008,Toradora!,https://cdn.myanimelist.net/images/characters/11/514086.jpg,false,jikan; anilist
22036,22036,Koyomi Araragi,Arararagi; Koyomin; Koyokoyo; Devil Boy; Kind Monster Sir; Monstieur; 阿良々木暦,Male,Mensch; Vampir; Elf,Main,17-18,165,29755,11361,5081,5081,Bakemonogatari,2009,Bakemonogatari,https://cdn.myanimelist.net/images/characters/16/559456.jpg,false,jikan; anilist
246,246,Gokuu Son,Goku Son; 孫悟空,Male,Mensch; Dämon; Gott; Elf; Drache; Android/Cyborg; Alien; Krieger; Barde,Main,,175,29687,8234,223,223,Dragon Ball,1986,Dragon Ball,https://cdn.myanimelist.net/images/characters/15/72546.jpg,false,jikan; anilist
36828,36828,Asuna Yuuki,アスナ; Berserker Healer (バーサクヒーラー); Lightning Flash (閃光); Mama (ママ); Erika (エリカ); 結城明日奈,Female,Fee; Ritter,Main,15-19,168,29666,9076,11757,11757,Sword Art Online,2012,Sword Art Online,https://cdn.myanimelist.net/images/characters/15/262053.jpg,false,jikan; anilist
13,13,Sasuke Uchiha,The Uchiha Survivor; The Last Uchiha; Sasuke of the Sharingan; うちはサスケ,Male,Dämon; Elf; Ork; Riese; Ninja,Main,12-17 (Naruto) 27- (Boruto),168,29589,10869,20,20,Naruto,2002,Naruto,https://cdn.myanimelist.net/images/characters/9/131317.jpg,false,jikan; anilist
94,94,Asuka Langley Souryuu,Second Child; Asuka Langley Shikinami; Princess; 惣流・アスカ・ラングレー,Female,Engel; Mecha-Pilot,Main,14,155,29492,12442,30,30,Shinseiki Evangelion,1995,Shinseiki Evangelion,https://cdn.myanimelist.net/images/characters/12/79465.jpg,false,jikan; anilist
4963,4963,Yuno Gasai,Second; Yunocchi; 我妻由乃,Female,Gott; Elf,Main,14,159,29117,5104,8460,10620,Mirai Nikki,2011,Mirai Nikki,https://cdn.myanimelist.net/images/characters/5/280576.jpg,false,jikan; anilist
13020,13020,Askeladd,أسكيلاد; آشيلاد; アシェラッド,Male,Fee; Pirat,Main,33-44 ,170,28905,14748,37521,101348,Vinland Saga,2019,Vinland Saga,https://cdn.myanimelist.net/images/characters/14/401940.jpg,false,jikan; anilist
7373,7373,Holo,Wise Wolf of Yoitsu; ホロ,Female,Mensch; Gott; Elf,Main,,160,28902,6551,2966,2966,Ookami to Koushinryou,2008,Ookami to Koushinryou,https://cdn.myanimelist.net/images/characters/15/319492.jpg,false,jikan; anilist
601,601,Alucard,The Count; No-Life King; Monster; Vlad Tepes; Vlad III Dracula; The Bird of Hermes; Dracula; Arucard; アーカード,Male,Dämon; Vampir; Ork; Krieger,Main,581,193,28851,5417,270,270,Hellsing,2001,Hellsing,https://cdn.myanimelist.net/images/characters/15/74607.jpg,false,jikan; anilist
46496,46496,Erwin Smith,Eyebrow; エルヴィン・スミス,Male,,Supporting,,188,28050,11025,16498,16498,Shingeki no Kyojin,2013,Shingeki no Kyojin,https://cdn.myanimelist.net/images/characters/14/559023.jpg,false,jikan; anilist
1111,1111,C.C.,Witch of Britannia; Gray Witch; Pizza Girl; C2; シー･ツー,Female,Dämon; Elf; Riese; Mecha-Pilot; Ritter,Main,,168,27387,9146,1575,1575,Code Geass: Hangyaku no Lelouch,2006,Code Geass: Hangyaku no Lelouch,https://cdn.myanimelist.net/images/characters/13/33815.jpg,false,jikan; anilist
719,719,Johan Liebert,Liebheart; Johann; Michael Reichmann; Franz Heinau; Erich Springer; The Nameless Monster; Otto; Hans; Thomas; The Devil; J; ヨハン・リーベルト,Male,Elf,Main,"19-23, (30's in Another Monster)",,27060,10045,19,124756,Monster,2019,Monster,https://cdn.myanimelist.net/images/characters/4/316522.jpg,false,jikan; anilist
109929,89616,Shigeo Kageyama,Mob (モブ); White T Poison; Shige; Shadow Leader; 影山茂夫,Male,Dämon,Main,14,,26796,17822,32182,21507,Mob Psycho 100,2016,Mob Psycho 100,https://cdn.myanimelist.net/images/characters/6/343344.jpg,false,jikan; anilist
4003,4003,Joutarou Kuujou,JoJo; Qtaro; Professor Kuujou; Jotaro Kujo; 空条承太郎,Male,Mensch; Dämon; Yokai/Geist; Elf; Magier,Main,17-40,,26661,12880,665,665,JoJo no Kimyou na Bouken: Adventure,2000,JoJo no Kimyou na Bouken: Adventure,https://cdn.myanimelist.net/images/characters/9/312302.jpg,false,jikan; anilist
184947,176754,Frieren,Frieren the Slayer; フリーレン,Female,Mensch; Dämon; Elf; Magier; Krieger; Priester/Heiler,Main,1000+,,26500,17587,52991,154587,Sousou no Frieren,2023,Sousou no Frieren,https://cdn.myanimelist.net/images/characters/7/525105.jpg,false,jikan; anilist
136359,120649,Kaguya Shinomiya,Muscle Queen; Auntie; Princess; Demon; Mistress Kaguya; Vice President; 四宮かぐや,Female,,Main,17,158,26404,19006,37999,112641,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2020,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://cdn.myanimelist.net/images/characters/2/504723.jpg,false,jikan; anilist
38005,38005,Homura Akemi,暁美ほむら,Female,Mensch,Main,14,155-159,26274,10044,9756,9756,Mahou Shoujo Madoka★Magica,2011,Mahou Shoujo Madoka★Magica,https://cdn.myanimelist.net/images/characters/16/526748.jpg,false,jikan; anilist
117909,89028,Izuku Midoriya,Deku (デク); 緑谷出久,Male,Dämon; Elf,Main,14-,166,25579,11530,31964,21459,Boku no Hero Academia,2016,Boku no Hero Academia,https://cdn.myanimelist.net/images/characters/7/299404.jpg,false,jikan; anilist
28,28,Kurapika,Chain User; Chain Bastard; クラピカ,Male,Jäger,Main,17-,171,25520,17420,136,136,Hunter x Hunter,1999,Hunter x Hunter,https://cdn.myanimelist.net/images/characters/3/549312.jpg,false,jikan; anilist
118489,89220,Shouto Todoroki,Shouto (ショート); Shoto Todoroki; Half-and-Half; Icy-Hot; 轟焦凍,Male,,Supporting,15-,176,25377,14342,31964,21459,Boku no Hero Academia,2016,Boku no Hero Academia,https://cdn.myanimelist.net/images/characters/12/332527.jpg,false,jikan; anilist
69411,69411,Kaori Miyazono,Free-spirit; 宮園かをり,Female,Dämon; Yokai/Geist; Elf; Mecha-Pilot,Main,14,,25260,8213,23273,20665,Shigatsu wa Kimi no Uso,2014,Shigatsu wa Kimi no Uso,https://cdn.myanimelist.net/images/characters/14/269375.jpg,false,jikan; anilist
498,,Rin Toosaka,,,Mensch; Dämon; Yokai/Geist; Elf; Ork; Magier; Bogenschütze/Waldläufer,Main,,159,24929,,356,356,Fate/stay night,2006,Fate/stay night,https://cdn.myanimelist.net/images/characters/2/270529.jpg,false,jikan
146156,126071,Tanjirou Kamado,Gonpachiro Kamaboko; Monjiro; Santaro; Kentaro; Soichiro; Ponjiro; Gengo Shakariki; Tontaro Itadaki; Kanjiro Anago; Tangoro Hamado; Jangoro Amado; 카마도 탄지로; 竈門炭治郎,Male,Dämon; Jäger,Main,13-16,165,24728,15726,38000,101922,Kimetsu no Yaiba,2019,Kimetsu no Yaiba,https://cdn.myanimelist.net/images/characters/6/386735.jpg,false,jikan; anilist
166439,133676,Marin Kitagawa,Marine (まりん); 喜多川海夢,Female,,Main,15,164,24095,14490,48736,132405,Sono Bisque Doll wa Koi wo Suru,2022,Sono Bisque Doll wa Koi wo Suru,https://cdn.myanimelist.net/images/characters/10/459773.jpg,false,jikan; anilist
90291,90107,Kusuo Saiki,Kuu; Kusuko; Kuriko; Cyborg Sodaman Mark II; Psi; Cyborg Ciderman II; Saichael; Four Eyes; 斉木楠雄,Male,Dämon,Main,15-,167,24071,12628,19469,19469,Saiki Kusuo no Ψ-nan (ONA),2013,Saiki Kusuo no Ψ-nan (ONA),https://cdn.myanimelist.net/images/characters/12/337932.jpg,false,jikan; anilist
131549,123962,Rimuru Tempest,Satoru Mikami (三上悟); Slime-san; Sensei; Milord; Ruler of Monsters; King of Tempest; Rising Star; Rimu-chi; Great Phantom Thief Satoru; リムル・テンペスト,Male (past life) → Agender,Mensch; Dämon; Yokai/Geist; Elf; Slime,Main,37 (past life) → 3,,23671,12485,37430,101280,Tensei shitara Slime Datta Ken,2018,Tensei shitara Slime Datta Ken,https://cdn.myanimelist.net/images/characters/4/495795.jpg,false,jikan; anilist
118737,88572,Emilia,Satella; Lia; Emilia-tan; Witch of Glaciation; Hyouketsu no Majo (氷結の魔女); Witch of Frost; Han Ma (半魔); Half-Devil; Mili; Emily; エミリア,Female,Dämon; Elf,Main,14-19,164,23420,25970,31240,21355,Re:Zero kara Hajimeru Isekai Seikatsu,2016,Re:Zero kara Hajimeru Isekai Seikatsu,https://cdn.myanimelist.net/images/characters/16/551926.jpg,false,jikan; anilist
148984,124142,Senkuu Ishigami,Sorcerer; Sorcerer Gentleman; Professor Senku; String bean; Dr. Senku; Lab; 石神千空,Male,,Main,"15-23+ (physically), 3700+ (chronologically)",171,23377,13932,38691,105333,Dr. Stone,2019,Dr. Stone,https://cdn.myanimelist.net/images/characters/4/478454.jpg,false,jikan; anilist
118735,88573,Subaru Natsuki,Barusu; Lolimancer; Young Su; Baru; Subaruun; Natsumi Schwartz; Bals; Le Chevalier de la Demi-Elfe; The Half Elf's Knight; Natsuki Schwartz; Spirit Knight; Purge King; Captain; Boss; Suu; Basu; ナツキ・スバル,Male,Elf,Main,17-,173,23328,11797,31240,21355,Re:Zero kara Hajimeru Isekai Seikatsu,2016,Re:Zero kara Hajimeru Isekai Seikatsu,https://cdn.myanimelist.net/images/characters/15/315153.jpg,false,jikan; anilist
67067,67067,Yukino Yukinoshita,Yukinon; 雪ノ下雪乃,Female,Elf,Main,16-17,,23271,9110,14813,21769,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,2016,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,https://cdn.myanimelist.net/images/characters/4/202721.jpg,false,jikan; anilist
117911,88892,Katsuki Bakugou,Katsuki Bakugo; Kacchan (かっちゃん); 爆豪勝己,Male,,Main,14-,172,23134,12719,31964,21459,Boku no Hero Academia,2016,Boku no Hero Academia,https://cdn.myanimelist.net/images/characters/12/299406.jpg,false,jikan; anilist
61,61,Robin Nico,Demon Child; Miss All Sunday; Light of the Revolution; O-Robi; Robiland; Ms. Sunday; Devil Child; ニコロビン,Female,Elf; Ork; Magier; Pirat,Main,28-,188,23031,13279,21,21,One Piece,1999,One Piece,https://cdn.myanimelist.net/images/characters/16/363700.jpg,false,jikan; anilist
24596,24596,Izaya Orihara,Kanra; Nakura; Chrome; Iza-nii; 折原臨也,Male,Mensch; Mecha-Pilot,Main,23-27,175,23007,3977,6746,6746,Durarara!!,2010,Durarara!!,https://cdn.myanimelist.net/images/characters/12/313152.jpg,false,jikan; anilist
55131,55131,Houtarou Oreki,折木奉太郎,Male,,Main,16-17,172,23006,6989,12189,12189,Hyouka,2012,Hyouka,https://cdn.myanimelist.net/images/characters/15/308148.jpg,false,jikan; anilist
70069,70069,Kurumi Tokisaki,Nightmare; 時崎狂三,Female,Mensch; Dämon; Engel; Yokai/Geist; Elf; Troll,Supporting,17 (physically),157,22732,7497,15583,15583,Date A Live,2013,Date A Live,https://cdn.myanimelist.net/images/characters/8/310255.jpg,false,jikan; anilist
458,458,Revy,Rebecca Lee (レベッカ・リー); Two Hands; Becky; レヴィ,Female,Dämon; Gott; Ork; Pirat; Krieger; Dieb/Schurke,Main,,,22702,7109,889,889,Black Lagoon,2006,Black Lagoon,https://cdn.myanimelist.net/images/characters/10/78871.jpg,false,jikan; anilist
10863,10863,Sebastian Michaelis,Black; Sebas-chan; Bassy; Sebby; セバスチャン・ミカエリス,Male,Dämon; Elf,Main,,185,22558,4871,4898,4898,Kuroshitsuji,2008,Kuroshitsuji,https://cdn.myanimelist.net/images/characters/6/44160.jpg,false,jikan; anilist
30,30,Gon Freecss,ゴン＝フリークス,Male,Dämon; Jäger,Main,11-,154,22482,13206,136,136,Hunter x Hunter,1999,Hunter x Hunter,https://cdn.myanimelist.net/images/characters/11/174517.jpg,false,jikan; anilist
5187,5187,Natsu Dragneel,Salamander (サラマンダー); Dragon Slayer; ナツ・ドラグニル,Male,Dämon; Elf; Drache; Fee; Magier,Main,,,22388,5051,6702,6702,Fairy Tail,2009,Fairy Tail,https://cdn.myanimelist.net/images/characters/15/594274.jpg,false,jikan; anilist
170733,137079,Power,Powy; Blood Fiend; Chi no Majin (血の魔人); Number One; パワー,Female,Dämon; Jäger,Main,,,22037,18154,44511,127230,Chainsaw Man,2022,Chainsaw Man,https://cdn.myanimelist.net/images/characters/7/494969.jpg,false,jikan; anilist
160603,126373,Miku Nakano,みく; 中野三玖,Female,Elf,Main,17-23,159,21833,10640,38101,103572,5-toubun no Hanayome,2019,5-toubun no Hanayome,https://cdn.myanimelist.net/images/characters/15/507743.jpg,false,jikan; anilist
143185,121102,Yuu Ishigami,Captain; Treasurer Ishigami; Yu-kun; Yu-chin; 石上優,Male,Elf,Main,15-16,,21819,13860,37999,112641,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2020,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://cdn.myanimelist.net/images/characters/7/372840.jpg,false,jikan; anilist
